TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
UN PROPHETE,JACQUES AUDIARD,DE LA REPUBLIQUE DOMINICAINE,75017,PLACE DE LA REPUBLIQUE DOMINICAINE 75017 Paris France,
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,LAUMAIN,75010,RUE LAUMAIN 75010 Paris France,
VICTOR,THOMAS GILOU,DU COMMERCE,75015,PLACE DU COMMERCE 75015 Paris France,
LA GRANDE VIE,MARINA DEAK,CHATEAU LANDON,75010,RUE CHATEAU LANDON 75010 Paris France,
RAPT,LUCAS BELVAUX,RAYMOND LOSSERAND,75014,RUE RAYMOND LOSSERAND 75014 Paris France,"48.832052, 2.314553"
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,PAUL STRAUSS,75020,RUE PAUL STRAUSS 75020 Paris France,"48.866539, 2.407414"
RAPT,LUCAS BELVAUX,MAURICE D'OCAGNE,75014,AVENUE MAURICE D'OCAGNE 75014 Paris France,
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,VITRUVE,75020,SQUARE VITRUVE 75020 Paris France,
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,CAUCHY,75015,RUE CAUCHY 75015 Paris France,
RAPT,LUCAS BELVAUX,DES ORFEVRES,75001,QUAI DES ORFEVRES 75001 Paris France,"48.855464, 2.342859"
RAPT,LUCAS BELVAUX,KLEBER,75016,AVENUE KLEBER 75016 Paris France,"48.868335, 2.290789"
PERSECUTION,PATRICE CHEREAU,SAINT SEBASTIEN,75011,PASSAGE SAINT SEBASTIEN 75011 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,DU FAUBOURG SAINT DENIS,75010,RUE DU FAUBOURG SAINT DENIS 75010 Paris France,"48.877194, 2.356223"
"NON, MA FILLE",CHRISTOPHE HONORE,MAGENTA,75010,BOULEVARD MAGENTA 75010 Paris France,"48.876019, 2.35621"
PERSECUTION,PATRICE CHEREAU,AMELOT/R DU PASTEUR WAGNER (ANGLE),75011,RUE AMELOT/R DU PASTEUR WAGNER (ANGLE) 75011 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,GABRIEL LAUMAIN,75010,RUE GABRIEL LAUMAIN 75010 Paris France,"48.873401, 2.348832"
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,DE BOULOGNE,75016,BOIS DE BOULOGNE 75016 Paris France,"48.862449, 2.249167"
PERSECUTION,PATRICE CHEREAU,DE LA CHINE,75020,RUE DE LA CHINE 75020 Paris France,
"NON, MA FILLE",CHRISTOPHE HONORE,DU PERE LACHAISE,75020,CIMETIERE DU PERE LACHAISE 75020 Paris France,"48.86115, 2.394188"
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,SIMONE DE BEAUVOIR,75012,PASSERELLE SIMONE DE BEAUVOIR 75012 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,SIMONE DE BEAUVOIR,75013,PASSERELLE SIMONE DE BEAUVOIR 75013 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,DEBELLEYME,75003,RUE DEBELLEYME 75003 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,DE TURENNE,75003,RUE DE TURENNE 75003 Paris France,"48.860373, 2.364558"
"NON, MA FILLE",CHRISTOPHE HONORE,CORVISART,75013,RUE CORVISART 75013 Paris France,"48.83099, 2.348158"
"NON, MA FILLE",CHRISTOPHE HONORE,DU CHANT DE L'ALOUETTE,75013,RUE DU CHANT DE L'ALOUETTE 75013 Paris France,
"NON, MA FILLE",CHRISTOPHE HONORE,PASCAL,75013,RUE PASCAL 75013 Paris France,
"NON, MA FILLE",CHRISTOPHE HONORE,DES CORDELIERES,75013,RUE DES CORDELIERES 75013 Paris France,
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,DE BOULOGNE,75016,BOIS DE BOULOGNE 75016 Paris France,"48.862449, 2.249167"
"NON, MA FILLE",CHRISTOPHE HONORE,HOCHE,75008,AVENUE HOCHE 75008 Paris France,
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,JULES SANDEAU,75016,BOULEVARD JULES SANDEAU 75016 Paris France,"48.86176, 2.272853"
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,DEBELLEYME,75003,RUE DEBELLEYME 75003 Paris France,
"NON, MA FILLE",CHRISTOPHE HONORE,VAN DYCK,75008,AVENUE VAN DYCK 75008 Paris France,"48.878411, 2.30616"
"NON, MA FILLE",CHRISTOPHE HONORE,MALESHERBES,75008,BOULEVARD MALESHERBES 75008 Paris France,"48.876158, 2.318287"
"NON, MA FILLE",CHRISTOPHE HONORE,MONCEAU,75008,PARC MONCEAU 75008 Paris France,"48.880744, 2.311696"
"NON, MA FILLE",CHRISTOPHE HONORE,VELASQUEZ,75008,AVENUE VELASQUEZ 75008 Paris France,"48.880009, 2.313161"
"NON, MA FILLE",CHRISTOPHE HONORE,DE LA REPUBLIQUE DOMINICAINE,75008,PLACE DE LA REPUBLIQUE DOMINICAINE 75008 Paris France,"48.880451, 2.309134"
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,DE SIAM,75016,RUE DE SIAM 75016 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,NAPOLEON III,75010,PLACE NAPOLEON III 75010 Paris France,
LE PERE DE MES ENFANTS,MIA HANSEN LOVE,DE DUNKERQUE,75010,RUE DE DUNKERQUE 75010 Paris France,"48.880718, 2.351657"
LA GRANDE VIE,MARINA DEAK,CROZATIER,75012,RUE CROZATIER 75012 Paris France,
VISAGES,TSAI MING LIANG,VERON,75018,RUE VERON 75018 Paris France,
